Problem,,,Constructive Algorithm,,,,Local Search,,,,GRASP,,,,Known best Solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized,Greedy-1,Semi-Greedy-1,Semi-Greedy-2,Local Search for Semi-Greedy-1,,Local Search for Semi-Greedy-2,,GRASP for Semi-Greedy-1,,GRASP for Semi-Greedy-2,,Known Best
,,,,,,,Number of Iterations,Best Value,Number of Iterations,Best Value,Number of Iterations,Best Value,Number of Iterations,Best Value,
g1,800,19176,9577,10956,11256,11280,80,11438,42,11386,10,11472,10,11468,12078
g2,800,19176,9659,11030,11320,11245,48,11430,75,11414,10,11422,10,11490,12084
g3,800,19176,9560,11012,11264,11297,45,11373,42,11407,10,11437,10,11464,12077
g4,800,19176,9577,11031,11332,11287,31,11412,74,11454,10,11524,10,11447,
g5,800,19176,9717,10990,11262,11325,50,11386,34,11415,10,11458,10,11477,
g6,800,19176,71,1515,1779,1710,88,1985,71,1864,10,2064,10,1978,
g7,800,19176,-56,1362,1520,1623,86,1750,36,1714,10,1827,10,1823,
g8,800,19176,-69,1331,1632,1556,52,1777,96,1767,10,1835,10,1828,
g9,800,19176,-155,1507,1699,1673,91,1880,66,1849,10,1854,10,1841,
g10,800,19176,-158,1350,1524,1637,57,1693,42,1747,10,1862,10,1837,
g11,800,1600,8,434,482,472,3,486,8,486,10,502,10,504,627
g12,800,1600,-10,418,468,470,5,476,8,484,10,494,10,488,621
g13,800,1600,48,432,498,498,6,508,9,514,10,524,10,526,645
g14,800,4694,2341,2890,2938,2922,22,2966,28,2960,10,2989,10,2988,3187
g15,800,4661,2326,2873,2929,2901,15,2949,27,2940,10,2967,10,2967,3169
g16,800,4672,2367,2878,2925,2909,19,2947,39,2959,10,2973,10,2956,3172
g17,800,4667,2300,2864,2940,2902,15,2957,27,2944,10,2963,10,2965,
g18,800,4694,29,780,845,832,21,875,21,860,10,901,10,908,
g19,800,4661,-28,681,757,768,43,816,24,805,10,815,10,828,
g20,800,4672,6,698,783,775,24,817,21,805,10,851,10,870,
g21,800,4667,-12,704,728,741,43,794,28,789,10,841,10,832,
g22,2000,19990,9922,12346,12855,12763,66,12979,119,12945,10,12989,10,13023,14123
g23,2000,19990,9892,12291,12842,12789,86,13005,67,12932,10,12981,10,13023,14129
g24,2000,19990,10005,12367,12795,12815,88,12951,82,12962,10,12976,10,13003,14131
g25,2000,19990,9967,12408,12757,12753,100,12952,86,12900,10,13059,10,13002,
g26,2000,19990,10036,12355,12744,12770,85,12890,83,12915,10,13016,10,13004,
g27,2000,19990,-19,2316,2631,2759,156,2906,105,2951,10,2940,10,2944,
g28,2000,19990,-132,2329,2680,2656,93,2860,137,2890,10,2928,10,2952,
g29,2000,19990,140,2367,2738,2775,107,2944,95,2939,10,3050,10,3031,
g30,2000,19990,98,2401,2667,2708,127,2903,141,2991,10,3033,10,3037,
g31,2000,19990,-12,2290,2660,2697,130,2879,88,2886,10,2907,10,2931,
g32,2000,4000,-12,1058,1196,1206,10,1214,11,1226,10,1226,10,1256,1560
g33,2000,4000,26,1000,1174,1194,15,1202,12,1216,10,1220,10,1234,1537
g34,2000,4000,30,988,1194,1178,19,1230,12,1200,10,1224,10,1248,1541
g35,2000,11778,5869,7252,7388,7307,47,7445,89,7428,10,7463,10,7460,8000
g36,2000,11766,5804,7225,7384,7273,50,7448,84,7408,10,7457,10,7456,7996
g37,2000,11785,5940,7264,7370,7348,46,7428,79,7460,10,7481,10,7470,8009
g38,2000,11779,5945,7305,7360,7263,55,7436,99,7424,10,7466,10,7458,
g39,2000,11778,68,1861,1929,2039,108,2086,62,2136,10,2172,10,2176,
g40,2000,11766,-44,1834,2011,2017,80,2130,52,2094,10,2179,10,2199,
g41,2000,11785,-21,1876,2007,2045,72,2111,60,2131,10,2149,10,2154,
g42,2000,11779,73,1989,2065,2066,76,2181,85,2192,10,2241,10,2268,
g43,1000,9990,5098,6188,6394,6354,55,6483,60,6459,10,6489,10,6524,7027
g44,1000,9990,4956,6157,6353,6425,45,6445,34,6491,10,6487,10,6499,7022
g45,1000,9990,5022,6179,6422,6403,43,6494,45,6477,10,6505,10,6482,7020
g46,1000,9990,4913,6150,6380,6382,62,6485,43,6457,10,6526,10,6511,
g47,1000,9990,4966,6220,6346,6389,51,6439,39,6473,10,6495,10,6508,
g48,3000,6000,2972,6000,6000,6000,1,6000,1,6000,10,6000,10,6000,6000
g49,3000,6000,3040,6000,6000,6000,1,6000,1,6000,10,6000,10,6000,6000
g50,3000,6000,2954,5880,5880,5868,1,5880,3,5872,10,5880,10,5872,5988
g51,1000,5909,2881,3626,3704,3681,21,3727,43,3742,10,3744,10,3744,
g52,1000,5916,2944,3650,3705,3680,34,3743,47,3752,10,3759,10,3754,
g53,1000,5914,2935,3632,3682,3688,32,3726,32,3733,10,3741,10,3749,
g54,1000,5916,2979,3633,3719,3677,20,3740,41,3746,10,3748,10,3737,
