Dataset,Criterion,MaxDepth,AvgAccuracy,NumNodes,ActualMaxDepth
Iris,IG,0,81.33,61,2
Iris,IGR,0,83.50,59,2
Iris,NWIG,0,85.33,61,3
Iris,IG,1,83.33,41,1
Iris,IGR,1,84.67,42,1
Iris,NWIG,1,82.50,41,1
Iris,IG,2,84.33,62,2
Iris,IGR,2,83.33,58,2
Iris,NWIG,2,85.17,59,2
Iris,IG,3,85.00,58,3
Iris,IGR,3,81.83,60,3
Iris,NWIG,3,82.83,61,3
Iris,IG,4,84.00,59,4
Iris,IGR,4,85.00,60,4
Iris,NWIG,4,82.33,60,4
Iris,IG,5,83.50,62,5
Iris,IGR,5,87.17,60,5
Iris,NWIG,5,85.50,62,5
Iris,IG,6,86.50,62,6
Iris,IGR,6,85.83,60,6
Iris,NWIG,6,87.00,61,6
Adult,IG,0,74.66,23450,14
Adult,IGR,0,83.01,21310,14
Adult,NWIG,0,84.09,14483,14
Adult,IG,1,74.69,18424,1
Adult,IGR,1,80.99,118,1
Adult,NWIG,1,75.79,7,1
Adult,IG,2,74.68,23230,2
Adult,IGR,2,83.21,265,2
Adult,NWIG,2,83.08,186,2
Adult,IG,3,74.86,23398,3
Adult,IGR,3,83.01,367,3
Adult,NWIG,3,84.81,661,3
Adult,IG,4,74.69,23378,4
Adult,IGR,4,83.28,18286,4
Adult,NWIG,4,84.97,1614,4
Adult,IG,5,74.74,23395,5
Adult,IGR,5,83.08,20896,5
Adult,NWIG,5,85.06,3447,5
Adult,IG,6,74.72,23415,6
Adult,IGR,6,83.14,21173,6
Adult,NWIG,6,84.61,5557,6
